trafficway_type,alignment,roadway_surface_condition,road_defect
ALLEY,"CURVE, LEVEL",WET,"RUT, HOLES"
ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS
ALLEY,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
ALLEY,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
ALLEY,STRAIGHT AND LEVEL,DRY,UNKNOWN
ALLEY,STRAIGHT AND LEVEL,DRY,WORN SURFACE
ALLEY,STRAIGHT AND LEVEL,ICE,NO DEFECTS
ALLEY,STRAIGHT AND LEVEL,ICE,SHOULDER DEFECT
ALLEY,STRAIGHT AND LEVEL,ICE,UNKNOWN
ALLEY,STRAIGHT AND LEVEL,ICE,WORN SURFACE
ALLEY,STRAIGHT AND LEVEL,OTHER,UNKNOWN
ALLEY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
ALLEY,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
ALLEY,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
ALLEY,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
ALLEY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
ALLEY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
ALLEY,STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY
ALLEY,STRAIGHT AND LEVEL,WET,NO DEFECTS
ALLEY,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
ALLEY,STRAIGHT AND LEVEL,WET,UNKNOWN
ALLEY,STRAIGHT AND LEVEL,WET,WORN SURFACE
ALLEY,STRAIGHT ON GRADE,DRY,NO DEFECTS
ALLEY,STRAIGHT ON GRADE,DRY,OTHER
ALLEY,STRAIGHT ON GRADE,DRY,UNKNOWN
ALLEY,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
ALLEY,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
ALLEY,STRAIGHT ON GRADE,WET,NO DEFECTS
ALLEY,STRAIGHT ON GRADE,WET,UNKNOWN
